[ 2017-03-09T17:20:05+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-03-09T17:20:05+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.011001s ]
[ 2017-03-09T17:20:05+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011001s ]
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_setting` [ RunTime:0.004000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_like_list` [ RunTime:0.003000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user` [ RunTime:0.003000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.003000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items` [ RunTime:0.003000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.003000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_comments` [ RunTime:0.003001s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_openid` [ RunTime:0.003000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_follow` [ RunTime:0.002000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_comments` [ RunTime:0.002000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_seo` [ RunTime:0.003000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_article` [ RunTime:0.014001s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_setting` [ RunTime:0.003000s ]
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SELECT * FROM `ctw_setting`  [ RunTime:0.017001s ]
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8] Undefined index: ban_spider baseAction.class.php 第 59 行.
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SELECT `id`,`title`,`url` FROM `ctw_article` WHERE cate_id=1 and status=1 ORDER BY ordid  [ RunTime:0.077004s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_nav` [ RunTime:0.005001s ]
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SELECT * FROM `ctw_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.002000s ]
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_flink` [ RunTime:0.004001s ]
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SELECT * FROM `ctw_flink` WHERE status=1 and cate_id=1 ORDER BY ordid asc  [ RunTime:0.000000s ]
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SELECT * FROM `ctw_flink` WHERE status=1 and cate_id=2 ORDER BY ordid asc  [ RunTime:0.001000s ]
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8] Undefined index: user baseAction.class.php 第 150 行.
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SELECT * FROM `ctw_user` WHERE id= LIMIT 1   [ RunTime:0.012001s ]
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8] Undefined index: user baseAction.class.php 第 172 行.
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SELECT COUNT(*) AS tp_count FROM `ctw_user_follow` WHERE fans_id= and uid= LIMIT 1   [ RunTime:0.005000s ]
[ 2017-03-09T17:20:06+08:00 ] / | NOTIC: [8] Undefined index: user baseAction.class.php 第 177 行.
[ 2017-03-09T17:20:06+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.003000s ]
