[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SELECT COUNT(*) AS tp_count FROM `ctw_user_follow` WHERE fans_id=4 and uid=4 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.004000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SELECT * FROM `ctw_items_cate` ORDER BY ordid ASC  [ RunTime:0.007001s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php 第 403 行.
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SELECT * FROM `ctw_seo`  [ RunTime:0.001000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SHOW COLUMNS FROM `ctw_exchange_goods` [ RunTime:0.004000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SELECT COUNT(*) AS tp_count FROM `ctw_exchange_goods` WHERE 1=1 AND status=1 AND (begin_time <= 1489549395 OR begin_time = 0) AND (end_time >= 1489549395 OR end_time = 0) LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SELECT `id`,`img`,`name`,`stock`,`buy_count`,`user_num`,`integral` FROM `ctw_exchange_goods` WHERE 1=1 AND status=1 AND (begin_time <= 1489549395 OR begin_time = 0) AND (end_time >= 1489549395 OR end_time = 0) ORDER BY sort asc LIMIT 0,20   [ RunTime:0.001000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: select a.id as id,a.name as name, b.integral as integral from ctw_user as a left join ctw_user_info as b on a.id=b.uid order by b.integral desc limit 0,10 [ RunTime:0.000000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: select a.id as id,a.name as name, b.exchange_num as exchange_num from ctw_user as a left join ctw_user_info as b on a.id=b.uid order by b.integral desc limit 0,10 [ RunTime:0.001000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SHOW COLUMNS FROM `ctw_nav` [ RunTime:0.003000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SHOW COLUMNS FROM `ctw_items` [ RunTime:0.002000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | SQL: SELECT * FROM `ctw_nav` WHERE ( `id` = 5 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | NOTIC: [8] Undefined index: pid baseAction.class.php 第 792 行.
[ 2017-03-15T11:43:15+08:00 ] /index.php?a=index&m=exchange_goods | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
