[ 2017-03-21T16:35:47+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-03-21T16:35:47+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-03-21T16:35:47+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_setting` [ RunTime:0.004000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_like_list` [ RunTime:0.005001s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user` [ RunTime:0.004000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.005000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items` [ RunTime:0.005001s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.004000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_comments` [ RunTime:0.004000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_openid` [ RunTime:0.005000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_follow` [ RunTime:0.004001s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_comments` [ RunTime:0.004000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_seo` [ RunTime:0.004000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_article` [ RunTime:0.004000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8] Undefined index: ban_spider baseAction.class.php 第 59 行.
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT `id`,`title`,`url` FROM `ctw_article` WHERE cate_id=1 and status=1 ORDER BY ordid  [ RunTime:0.001000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT COUNT(*) AS tp_count FROM `ctw_user` WHERE id='4' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_user` WHERE id=4 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8] Undefined index: img baseAction.class.php 第 155 行.
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_user` WHERE id=4 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.005000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_user_info` WHERE 1=1 AND uid='4' LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8] Undefined index: img baseAction.class.php 第 166 行.
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT COUNT(*) AS tp_count FROM `ctw_user_follow` WHERE fans_id=4 and uid=4 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.005000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_items_cate` ORDER BY ordid ASC  [ RunTime:0.006001s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php 第 403 行.
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_seo`  [ RunTime:0.001000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_focus` [ RunTime:0.063004s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_focus` WHERE cate_id=1 AND status=1 ORDER BY ordid DESC  [ RunTime:0.001000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_like_list` ORDER BY add_time DESC LIMIT 28   [ RunTime:0.001001s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_items` WHERE id=1 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_user` WHERE id=4 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.006000s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SELECT * FROM `ctw_user_info` WHERE 1=1 AND uid='4' LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-21T16:35:47+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_seller_list` [ RunTime:0.018001s ]
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [2] Invalid argument supplied for foreach() indexAction.class.php 第 140 行.
[ 2017-03-21T16:35:47+08:00 ] / | NOTIC: [2] Missing argument 3 for Api59miao::AdsGet(), called in D:\software\phpStudy\WWW\99_ctw\www.ctw.com\index\Lib\Action\indexAction.class.php on line 50 and defined api59miao.class.php 第 42 行.
[ 2017-03-21T16:36:08+08:00 ] / | NOTIC: [2] file_get_contents(http://api.59miao.com/Router/Rest?app_key=1003336&amp;fields=click_url%2Cpic_size%2Cpic_url%2Cad_id%2Csid%2Csids%2Cpic_size%2Ctitle&amp;format=xml&amp;method=59miao.ads.get&amp;pic_size=468x60&amp;sign_method=md5&amp;timestamp=2017-03-21+16%3A35%3A47&amp;v=1.0&amp;sign=6DAF5E67F25BFA773D7A18F26E066AD2):  api59miao_toos.class.php 第 13 行.
[ 2017-03-21T16:36:08+08:00 ] / | NOTIC: [2] Invalid argument supplied for foreach() api59miao_toos.class.php 第 80 行.
[ 2017-03-21T16:36:08+08:00 ] / | NOTIC: [8] Undefined variable: ad_rel indexAction.class.php 第 55 行.
[ 2017-03-21T16:36:08+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-03-21T16:36:08+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.034002s ]
[ 2017-03-21T16:36:08+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.034002s ]
[ 2017-03-21T16:36:08+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-03-21T16:36:08+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-21T16:36:09+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
