[ 2017-02-19T15:10:26+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-19T15:10:26+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-02-19T15:10:26+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_setting` [ RunTime:0.010001s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_like_list` [ RunTime:0.009001s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user` [ RunTime:0.010000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.011001s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items` [ RunTime:0.010001s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.012000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_comments` [ RunTime:0.012001s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_openid` [ RunTime:0.010001s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_follow` [ RunTime:0.012000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_comments` [ RunTime:0.011001s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_seo` [ RunTime:0.011001s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_article` [ RunTime:0.014001s ]
[ 2017-02-19T15:10:26+08:00 ] / | NOTIC: [8] Undefined index: ban_spider baseAction.class.php 第 57 行.
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT `id`,`title`,`url` FROM `ctw_article` WHERE cate_id=1 and status=1 ORDER BY ordid  [ RunTime:0.001000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT COUNT(*) AS tp_count FROM `ctw_user` WHERE id='4' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_user` WHERE id=4 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-02-19T15:10:26+08:00 ] / | NOTIC: [8] Undefined index: img baseAction.class.php 第 153 行.
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_user` WHERE id=4 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.010001s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_user_info` WHERE 1=1 AND uid='4' LIMIT 1   [ RunTime:0.001000s ]
[ 2017-02-19T15:10:26+08:00 ] / | NOTIC: [8] Undefined index: img baseAction.class.php 第 164 行.
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT COUNT(*) AS tp_count FROM `ctw_user_follow` WHERE fans_id=4 and uid=4 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.009000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_items_cate` ORDER BY ordid ASC  [ RunTime:0.015001s ]
[ 2017-02-19T15:10:26+08:00 ] / | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php 第 401 行.
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_seo`  [ RunTime:0.001000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_focus` [ RunTime:0.008000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_article` WHERE is_best=1 ORDER BY add_time DESC LIMIT 1   [ RunTime:0.001000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_article` WHERE is_hot=1 ORDER BY is_hot DESC,add_time DESC LIMIT 1,5   [ RunTime:0.002000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_focus` WHERE cate_id=1 AND status=1 ORDER BY ordid DESC  [ RunTime:0.000000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_like_list` ORDER BY add_time DESC LIMIT 28   [ RunTime:0.000000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_items` WHERE id=1 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SELECT * FROM `ctw_user` WHERE id=4 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-19T15:10:26+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.010001s ]
