[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_focus` WHERE cate_id=1 AND status=1 ORDER BY ordid DESC  [ RunTime:0.001000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_like_list` ORDER BY add_time DESC LIMIT 28   [ RunTime:0.000000s ]
[ 2017-02-25T12:41:28+08:00 ] / | NOTIC: [2] Invalid argument supplied for foreach() indexAction.class.php ç¬¬ 103 è¡Œ.
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_seller_list` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:28+08:00 ] / | NOTIC: [2] Invalid argument supplied for foreach() indexAction.class.php ç¬¬ 138 è¡Œ.
[ 2017-02-25T12:41:28+08:00 ] / | NOTIC: [2] Missing argument 3 for Api59miao::AdsGet(), called in D:\software\phpStudy\WWW\99_ctw\www.ctw.com\index\Lib\Action\indexAction.class.php on line 48 and defined api59miao.class.php ç¬¬ 42 è¡Œ.
[ 2017-02-25T12:41:49+08:00 ] / | NOTIC: [2] file_get_contents(http://api.59miao.com/Router/Rest?app_key=1003336&amp;fields=click_url%2Cpic_size%2Cpic_url%2Cad_id%2Csid%2Csids%2Cpic_size%2Ctitle&amp;format=xml&amp;method=59miao.ads.get&amp;pic_size=468x60&amp;sign_method=md5&amp;timestamp=2017-02-25+12%3A41%3A28&amp;v=1.0&amp;sign=4394A88525BD601C1C7BAD8A47CB9178) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: ÓÉÓÚÁ¬½Ó·½ÔÚÒ»¶ÎÊ±¼äºóÃ»ÓÐÕýÈ·´ð¸´»òÁ¬½ÓµÄÖ÷»úÃ»ÓÐ·´Ó¦£¬Á¬½Ó³¢ÊÔÊ§°Ü¡£
 api59miao_toos.class.php ç¬¬ 13 è¡Œ.
[ 2017-02-25T12:41:49+08:00 ] / | NOTIC: [2] Invalid argument supplied for foreach() api59miao_toos.class.php ç¬¬ 80 è¡Œ.
[ 2017-02-25T12:41:49+08:00 ] / | NOTIC: [8] Undefined variable: ad_rel indexAction.class.php ç¬¬ 53 è¡Œ.
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-25T12:41:49+08:00 ] / | NOTIC: [8] Undefined variable: keywords 4dc7a0fd19b459021f3e6e9027c093dd.php ç¬¬ 63 è¡Œ.
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.059003s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059003s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2017-02-25T12:41:49+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | INFO: Tag[ app_begin ] --START--
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_setting` [ RunTime:0.004001s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_like_list` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_user` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_items` [ RunTime:0.004001s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_items_comments` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_user_openid` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_user_follow` [ RunTime:0.004001s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_user_comments` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_seo` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_article` [ RunTime:0.006001s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | NOTIC: [8] Undefined index: ban_spider baseAction.class.php ç¬¬ 57 è¡Œ.
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SELECT `id`,`title`,`url` FROM `ctw_article` WHERE cate_id=1 and status=1 ORDER BY ordid  [ RunTime:0.000000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | NOTIC: [8] Undefined index: user baseAction.class.php ç¬¬ 148 è¡Œ.
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SELECT * FROM `ctw_user` WHERE id= LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | NOTIC: [8] Undefined index: user baseAction.class.php ç¬¬ 170 è¡Œ.
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SELECT COUNT(*) AS tp_count FROM `ctw_user_follow` WHERE fans_id= and uid= LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | NOTIC: [8] Undefined index: user baseAction.class.php ç¬¬ 175 è¡Œ.
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SELECT * FROM `ctw_items_cate` ORDER BY ordid ASC  [ RunTime:0.005000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | NOTIC: [8] Undefined index: user baseAction.class.php ç¬¬ 397 è¡Œ.
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php ç¬¬ 401 è¡Œ.
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SELECT * FROM `ctw_seo`  [ RunTime:0.000000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_ad` [ RunTime:0.007000s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SHOW COLUMNS FROM `ctw_adboard` [ RunTime:0.007001s ]
[ 2017-02-25T12:41:50+08:00 ] /index.php?a=index&m=advert&id=6 | SQL: SELECT * FROM `ctw_adboard` WHERE id=6 AND status=1 LIMIT 1   [ RunTime:0.000000s ]
